Client,SKU,Description,Category,"Unit of Measurement",Warehouse,"In Stock",Allocated,Sellable,"Under Par","On Order",Barcode,"Manufacturer Website","Recommended Retail Price","Sales Price","Unit Cost",Weight,"Default Econ Order","Default Lead Time (Days)","Par Level",Assembly,Serializable,"Track Lot",Perishable,Re-Order,"Storage Length","Storage Width","Storage Height","Storage Volume",Brand
,000437,"Utility Classic Collar Black, Small","Dog Harness, Lead &amp; Collar",Each,"Main Warehouse",0,0,0,,0,649510004377,,9.49,9.49,4.75000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00101,"Weruva Outback Grill Canned Cat Food - 3oz",Cats,Each,"Main Warehouse",0,0,0,,0,878408001017,,2.35,2.35,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00109,"World's Best Multiple Cat Scented Clumping Litter - 7Lb","Cat Litter &amp; Litter Supplies",Each,"Main Warehouse",1,0,1,,0,322591001090,,18.99,18.99,14.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00148,"Crumps' Natural Plaque Busters Original Dental Sticks","Chews + Bones",Each,"Main Warehouse",0,0,0,,0,835302001482,,11.69,12.99,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00160,"Bullymake Toss N'Treat Dog Toy - Popcorn","Dog Toys",Each,"Main Warehouse",1,0,1,,0,669125001608,,24.99,24.99,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00161,"Bullymake Toss N'Treat Dog Toy - Burger","Dog Toys",Each,"Main Warehouse",0,0,0,,0,669125001615,,24.99,24.99,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00164,"Bullymake Tough Chew Nylon Horseshoe Blue Bacon Flavour Dog Toy","Dog Toys",Each,"Main Warehouse",1,0,1,,0,669125001646,,24.99,24.99,14.41000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00181,"Crumps' Naturals Plaque Busters Dog Treats - Bacon - 9.5 10pack","Chews + Bones",Each,"Main Warehouse",6,0,6,,0,835302001819,,12.49,12.49,8.12000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00201,"Weruva Outback Grill Canned Cat Food 5.5oz",Cats,Each,"Main Warehouse",22,0,22,,0,878408002014,,3.41,3.59,2.50000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00238,"Crumps' Natural Plaque Busters Pumpkin Spice Dental Sticks","Chews + Bones",Each,"Main Warehouse",0,0,0,,0,835302002380,,12.49,12.49,8.12000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00417,"Skip to the beginning of the images gallery Himalayan Dog Chew Happy Teeth - Cheese-Char","Chews + Bones",Each,"Main Warehouse",0,0,0,,0,853012004173,,8.99,8.99,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00421,"Crumps' Naturals Plaque Busters Dog Treats - Bacon - 30.7 oz 30 pack","Chews + Bones",Each,"Main Warehouse",4,0,4,,0,835302004216,,30.49,30.49,20.71000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00454,"Crumps' Naturals Plaque Busters Advanced Whole Mouth Care Dog Treats 9.5oz","Chews + Bones",Each,"Main Warehouse",4,0,4,,0,835302004544,,13.99,13.99,8.69000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00537,"Go! Solutions Skin & Coat Care Tetra Packs for Dogs - Pollock Pâté with Grains Recipe 12.5oz","Dog Skin &amp; Coat Care",Each,"Main Warehouse",11,0,11,,0,815260005371,,5.99,5.99,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,0055,"Red Barn Dog Chew - Puff Braid","Chews + Bones",Each,"Main Warehouse",15,0,15,,0,785184000540,,10.99,10.99,0.00000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00746,"Now Fresh Grain-Free Recipe for Senior Cats - Turkey, Salmon & Duck - 3Lb",Cats,Each,"Main Warehouse",6,0,6,,0,815260007467,,29.99,29.99,21.30000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,00747,"Now Fresh Grain-Free Recipe for Senior Cats - Turkey, Salmon & Duck - 8LB",Cats,Each,"Main Warehouse",4,0,4,,0,815260007474,,59.99,59.99,42.60000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
,02898,"Wellmark Premium Aloe & Oatmeal Shampoo & Conditioner 473ml","Cat Health &amp; Wellness &amp; hygiene",Each,"Main Warehouse",2,0,2,,0,623504028976,,31.99,31.99,12.75000000,0.000000,0.00,0,0.000000,N,N,N,N,0,0,0,0,0,
