Receipt,SKU,Category,Description,Quantity,UOM,"Unit Cost Total","Quantity (Base UOM)","Lot Number","Expiration Date","PKG #","Item #","Pallet #","Unit Cost","Sales Price",Weight,Brand,Client,"Received Date",Warehouse,"PO# / Receipt#",Name
39828,700060,"Wet Cat Food","Weruva Pumpkin Patch Up Pureed Pumpkin 1.05oz",42,,0.00,42,,"0000-00-00 00:00:00",,,,0,1.290000,0.000000,Weruva,,"12/01/2025 11:56:13 am","Main Warehouse",,"WooCommerce Import"
39828,124111,"Wet Dog Food","Weruva Pumpkin Patch Up Ginger & Tumeric 1.05oz",7,,0.00,7,,"0000-00-00 00:00:00",,,,0,1.290000,0.000000,Weruva,,"12/01/2025 11:56:13 am","Main Warehouse",,"WooCommerce Import"
39828,124117,"Wet Dog Food","Weruva Pumpkin Patch Up Coconut Oil & Flaxseed 1.05oz",4,,0.00,4,,"0000-00-00 00:00:00",,,,0,1.290000,0.000000,Weruva,,"12/01/2025 11:56:13 am","Main Warehouse",,"WooCommerce Import"
39829,594232,,"Himalayan Churro Cheese",20,Each,105.40,20,,"0000-00-00 00:00:00",,,,5.27,9.990000,0.000000,Himalayan,,"12/01/2025 12:19:20 pm","Main Warehouse",,"Default Supplier"
39829,700060,"Wet Cat Food","Weruva Pumpkin Patch Up Pureed Pumpkin 1.05oz",36,Each,0.00,36,,"0000-00-00 00:00:00",,,,0,1.290000,0.000000,Weruva,,"12/01/2025 12:19:20 pm","Main Warehouse",,"Default Supplier"
39829,124111,"Wet Dog Food","Weruva Pumpkin Patch Up Ginger & Tumeric 1.05oz",36,Each,0.00,36,,"0000-00-00 00:00:00",,,,0,1.290000,0.000000,Weruva,,"12/01/2025 12:19:20 pm","Main Warehouse",,"Default Supplier"
39829,124117,"Wet Dog Food","Weruva Pumpkin Patch Up Coconut Oil & Flaxseed 1.05oz",132,Each,0.00,132,,"0000-00-00 00:00:00",,,,0,1.290000,0.000000,Weruva,,"12/01/2025 12:19:20 pm","Main Warehouse",,"Default Supplier"
39830,99993,"Chews + Bones","Doritos - Chip Crinkle Bag For Dog's",1,,0.00,1,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,,,"12/01/2025 12:48:27 pm","Main Warehouse",,"WooCommerce Import"
39830,99992,"Chews + Bones","Ruffles - Chip Crinkle Bag For Dog's",1,,0.00,1,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,,,"12/01/2025 12:48:27 pm","Main Warehouse",,"WooCommerce Import"
39830,99991,"Chews + Bones","Lazy - Chip Crinkle Bag For Dog's",1,,0.00,1,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,,,"12/01/2025 12:48:27 pm","Main Warehouse",,"WooCommerce Import"
39830,99997,"Chews + Bones","Furitos - Chip Crinkle Bag For Dog's",1,,0.00,1,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,"Fussie Cat",,"12/01/2025 12:48:27 pm","Main Warehouse",,"WooCommerce Import"
39831,99993,"Chews + Bones","Doritos - Chip Crinkle Bag For Dog's",20,Each,0.00,20,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,,,"12/01/2025 12:54:40 pm","Main Warehouse",,"Default Supplier"
39831,99992,"Chews + Bones","Ruffles - Chip Crinkle Bag For Dog's",20,Each,0.00,20,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,,,"12/01/2025 12:54:40 pm","Main Warehouse",,"Default Supplier"
39831,99991,"Chews + Bones","Lazy - Chip Crinkle Bag For Dog's",20,Each,0.00,20,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,,,"12/01/2025 12:54:40 pm","Main Warehouse",,"Default Supplier"
39831,99997,"Chews + Bones","Furitos - Chip Crinkle Bag For Dog's",20,Each,0.00,20,,"0000-00-00 00:00:00",,,,0,11.990000,0.000000,"Fussie Cat",,"12/01/2025 12:54:40 pm","Main Warehouse",,"Default Supplier"
39835,29039,Cats,"Nulo Finely Minced Wet Cat Food - Chicken, Crab & Prawn, Whole Protein, 6 Oz",16,Each,51.04,16,,"0000-00-00 00:00:00",,,,3.19,4.690000,0.000000,Nulo,,"12/01/2025 1:46:31 pm","Main Warehouse",,"Default Supplier"
39835,29040,Adult,"Nulo Finely Minced Chicken & Quail Egg Cat & Kitten Wet Food, Grain Free, 2.8 Oz",12,Each,0.00,12,,"0000-00-00 00:00:00",,,,0,2.690000,0.000000,Nulo,,"12/01/2025 1:46:31 pm","Main Warehouse",,"Default Supplier"
39836,45722,Cats,"Canadian Naturals Cat Food - Chicken & Brown Rice - 15lbs",2,Each,0.00,2,,"0000-00-00 00:00:00",,,,0,42.990000,0.000000,"Canadian Naturals",,"12/01/2025 2:01:09 pm","Main Warehouse",,"Default Supplier"
39836,45721,Cats,"Canadian Naturals Cat Food - Chicken & Brown Rice - 6.5lbs",1,Each,0.00,1,,"0000-00-00 00:00:00",,,,0,22.540000,0.000000,"Canadian Naturals",,"12/01/2025 2:01:09 pm","Main Warehouse",,"Default Supplier"
39836,45720,Cats,"Canadian Naturals Cat Food - Chicken & Brown Rice - 3lbs",2,Each,0.00,2,,"0000-00-00 00:00:00",,,,0,13.990000,0.000000,"Canadian Naturals",,"12/01/2025 2:01:09 pm","Main Warehouse",,"Default Supplier"
39836,45725,Cats,"Canadian Naturals Cat Food - Turkey & Salmon - 15lbs",2,Each,0.00,2,,"0000-00-00 00:00:00",,,,0,55.990000,0.000000,"Canadian Naturals",,"12/01/2025 2:01:09 pm","Main Warehouse",,"Default Supplier"
