"Warehouse Name",Country,Client,Category,"In Stock","Average Cost","Total Cost","Average Freight","Total Freight","Average Duties","Total Duties","Average Freight + Duties","Total Freight + Duties","Average Landed Cost","Total Landed Cost"
"Main Warehouse",Canada,,,2221,3.414475,7583.55,0.00,0.00,0.00,0.00,0.00,0.00,3.414475,7583.55
"Main Warehouse",Canada,,`,3,77.82,233.46,0.00,0.00,0.00,0.00,0.00,0.00,77.82,233.46
"Main Warehouse",Canada,,Accessories,32,16.240625,519.70,0.00,0.00,0.00,0.00,0.00,0.00,16.240625,519.70
"Main Warehouse",Canada,,Adult,196,1.304898,255.76,0.00,0.00,0.00,0.00,0.00,0.00,1.304898,255.76
"Main Warehouse",Canada,,"Cat Accessories",30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Main Warehouse",Canada,,"Cat Beds",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Main Warehouse",Canada,,"CAT FOOD DRY",10,19.441,194.41,0.00,0.00,0.00,0.00,0.00,0.00,19.441,194.41
"Main Warehouse",Canada,,"Cat Food Toppers",511,1.836986,938.70,0.00,0.00,0.00,0.00,0.00,0.00,1.836986,938.70
"Main Warehouse",Canada,,"Cat Freeze Dried",8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Main Warehouse",Canada,,"Cat Freeze Dried Food",31,3.306452,102.50,0.00,0.00,0.00,0.00,0.00,0.00,3.306452,102.50
"Main Warehouse",Canada,,"Cat Grain Free",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Main Warehouse",Canada,,"Cat Health &amp; Wellness &amp; hygiene",29,1.965517,57.00,0.00,0.00,0.00,0.00,0.00,0.00,1.965517,57.00
"Main Warehouse",Canada,,"Cat Health Foods",2,48.80,97.60,0.00,0.00,0.00,0.00,0.00,0.00,48.80,97.60
"Main Warehouse",Canada,,"Cat Litter &amp; Litter Supplies",31,31.726129,983.51,0.00,0.00,0.00,0.00,0.00,0.00,31.726129,983.51
"Main Warehouse",Canada,,"Cat Nip",6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Main Warehouse",Canada,,"cat soft treats",17,2.83,48.11,0.00,0.00,0.00,0.00,0.00,0.00,2.83,48.11
"Main Warehouse",Canada,,"Cat Treats",196,2.34648,459.91,0.00,0.00,0.00,0.00,0.00,0.00,2.34648,459.91
"Main Warehouse",Canada,,"Cat Urinary Care",6,47.706667,286.24,0.00,0.00,0.00,0.00,0.00,0.00,47.706667,286.24
"Main Warehouse",Canada,,Cats,556,2.811637,1563.27,0.00,0.00,0.00,0.00,0.00,0.00,2.811637,1563.27
