"Warehouse Name","Warehouse ID",Name,Description,Code,"Parent Name","Parent Description","Parent Code","Stock in Location","Stock in Child Locations","Total Stock","Default Location","Allow Auto Allocation","Override Default Storage Fee","Storage Fee","Last Cycle Count"
"Main Warehouse",400,Store,"Retail area",Store,"Store Rack 1","Store - 1","Store - 1",5,8439,8444,0,1,0,0.00,
"Main Warehouse",400,"Store Center Rack 6","Store - C6","Store - C6",Store,"Retail area",Store,3114,0,3114,0,1,0,0.00,"2026-06-22 13:05:19"
"Main Warehouse",400,Damaged,,Damage,,,,3,0,3,0,0,0,0.00,"2025-08-19 10:31:54"
"Main Warehouse",400,"Store Center Rack 5","Store - C5","Store - C5",Store,"Retail area",Store,63,0,63,0,1,0,0.00,"2026-06-02 09:40:34"
"Main Warehouse",400,Overflow,,Overflow,,,,2,0,2,0,1,0,0.00,"2026-02-19 13:40:01"
"Main Warehouse",400,"Rack 20",,,,,,0,1383,0,0,1,0,0.00,
"Main Warehouse",400,"Store Center Rack 4","Store - C4","Store - C4",Store,"Retail area",Store,223,0,223,0,1,0,0.00,"2026-03-09 14:19:29"
"Main Warehouse",400,"Rack 20 Level 3","Second Warehouse",20-3,"Rack 20",,,24,0,24,0,1,0,0.00,"2026-01-15 12:15:06"
"Main Warehouse",400,"Store Center Rack 3","Store - C3","Store - C3",Store,"Retail area",Store,300,0,300,0,1,0,0.00,"2026-05-08 14:16:31"
"Main Warehouse",400,"Rack 20 Level 2","Second Warehouse",20-2,"Rack 20",,,230,0,230,0,1,0,0.00,"2026-05-19 14:36:34"
"Main Warehouse",400,"Store Center Rack 2","Store - C2","Store - C2",Store,"Retail area",Store,1,0,1,0,1,0,0.00,"2025-08-22 14:01:54"
"Main Warehouse",400,"Rack 20 Level 1","Second Warehouse",20-1,"Rack 20",,,828,0,828,0,1,0,0.00,"2026-06-22 13:05:18"
"Main Warehouse",400,"Store Center Rack 1","Store - C1","Store - C1",Store,"Retail area",Store,16,0,16,0,1,0,0.00,"2026-03-05 14:23:03"
"Main Warehouse",400,"Rack 19",,,,,,0,387,0,0,1,0,0.00,
"Main Warehouse",400,"Store Rack 14","Store - 14","Store - 14",Store,"Retail area",Store,12,0,12,0,1,0,0.00,"2025-08-19 10:31:39"
"Main Warehouse",400,"Rack 19 Level 3","Second Warehouse","19 - 3","Rack 19",,,16,0,16,0,1,0,0.00,"2025-08-19 10:31:57"
"Main Warehouse",400,"Store Rack 13","Store - 13","Store - 13",Store,"Retail area",Store,9,0,9,0,1,0,0.00,"2026-06-04 13:35:53"
"Main Warehouse",400,"Rack 19 Level 2","Second Warehouse","19 - 2","Rack 19",,,11,0,11,0,1,0,0.00,"2026-04-21 14:07:40"
"Main Warehouse",400,"Store Rack 12","Store - 12","Store - 12",Store,"Retail area",Store,8,0,8,0,1,0,0.00,"2026-01-22 14:14:59"
"Main Warehouse",400,"Rack 19 Level 1","Second Warehouse","19 - 1","Rack 19",,,343,0,343,0,1,0,0.00,"2026-04-27 14:02:12"
"Main Warehouse",400,"Store Rack 11","Store - 11","Store - 11",Store,"Retail area",Store,3,0,3,0,1,0,0.00,"2026-01-21 14:05:19"
"Main Warehouse",400,"Rack 16",,,,,,0,348,0,0,1,0,0.00,
