"UPC","Quantity (individual pieces)","Description","Net price per piece (CAD)","Supplier item number","Invoice quantity shipped","Invoice UOM","Units per case","Invoice net price per UOM (CAD)","Invoice line total (CAD)"
"=""888641131341""","12","Zignature Dog LID Kangaroo 12/13 oz","4.966667","888-13134","1","CS","12","59.60","59.60"
"=""693804470140""","1","Tiki Cat Born Carnivore Chicken & Egg non-GMO 5.6 lb","39.720000","938-47014","1","EA","1","39.72","39.72"
"=""030111546470""","1","RC FCN Urinary Care 6 lb","45.530000","301-54647","1","EA","1","45.53","45.53"
"=""030111546463""","2","RC FCN Urinary Care 14 lb","76.700000","301-54646","2","EA","1","76.70","153.40"
"=""030111416735""","2","RC BHN Labrador Retriever 30 lb","84.600000","804-41673","2","EA","1","84.60","169.20"
"=""669066990108""","1","Oven-Baked Tradition Dog Semi-Moist Chicken 20 lb","75.040000","690-99010","1","EA","1","75.04","75.04"
"=""669066005130""","2","Oven-Baked Tradition Cat Care Urinary Tract 10 lb","39.620000","690-00513","2","EA","1","39.62","79.24"
"=""064992184124""","1","ORIJEN Dog Regional Red 11.4 kg","89.060000","649-18412","1","EA","1","89.06","89.06"
"=""064992182120""","1","ORIJEN Dog Original 11.4 kg","78.450000","649-18212","1","EA","1","78.45","78.45"
"=""064992723781""","12","ORIJEN Dog Chicken Pate with Liver 12/363g","4.812500","649-72378","1","CS","12","57.75","57.75"
"=""064992728298""","1","ORIJEN Dog Amazing Grains Regional Red 9.7 kg","91.880000","649-72829","1","EA","1","91.88","91.88"
"=""064992282547""","2","ORIJEN Cat Regional Red 5.4 kg","61.570000","649-28254","2","EA","1","61.57","123.14"
"=""064992280543""","1","ORIJEN Cat Original 5.4 kg","58.200000","649-28054","1","EA","1","58.20","58.20"
"=""064992724016""","2","ORIJEN Cat Guardian 8 Senior 4.5 kg","53.730000","649-72401","2","EA","1","53.73","107.46"
"=""064992726164""","12","ORIJEN Cat Chunks & Shreds Regional Red Entree 12/155g","3.397500","649-72616","1","CS","12","40.77","40.77"
"=""683547128224""","1","Open Farm Dog GF Homestead Turkey & Chicken 22 lb","81.500000","835-12822","1","EA","1","81.50","81.50"
"=""683547125414""","1","Open Farm Dog Ancient Grain Wild Salmon 22 lb","74.350000","835-12541","1","EA","1","74.35","74.35"
"=""067714102383""","1","Nutram Sound Dog S10 Senior 11.4 kg","58.480000","677-10238","1","EA","1","58.48","58.48"
"=""067714102468""","1","Nutram Ideal Dog I20 Skin Coat & Stomach 11.4 kg","73.370000","677-10246","1","EA","1","73.37","73.37"
"=""067714102789""","1","Nutram Ideal Cat I19 Skin Coat & Stomach 5.4 kg","45.460000","677-10278","1","EA","1","45.46","45.46"
"=""777979182142""","2","Intersand Cat Litter Classic Unscented 14 kg","13.250000","777-18214","2","EA","1","13.25","26.50"
"=""777979183149""","1","Intersand Cat Litter Classic Lavender 14 kg","13.250000","777-18314","1","EA","1","13.25","13.25"
"=""777979185105""","1","Intersand Cat Litter Classic Carbon Shield 12 kg","13.250000","777-18510","1","EA","1","13.25","13.25"
"=""777979180148""","1","Intersand Cat Litter Classic Baby Powder 14 kg","13.250000","777-18014","1","EA","1","13.25","13.25"
"=""052742453408""","24","Hill's Science Diet Cat Adult Savory Chicken Entree 24/5.5 oz","2.591250","527-45340","1","CS","24","62.19","62.19"
"=""052742082738""","1","Hill's Science Diet Cat Adult Perfect Weight Chicken 3 lb","28.310000","527-08273","1","EA","1","28.31","28.31"
"=""052742010229""","24","Hill's Science Diet Cat Adult Urinary & Hairball Chicken Entree 24/5.5 oz","2.642083","527-01022","1","CS","24","63.41","63.41"
"=""072318100031""","1","FirstMate Dog LID GF NZ Beef 25 lb","68.810000","723-10003","1","EA","1","68.81","68.81"
"=""072318101397""","1","FirstMate Dog Grain Friendly NZ Beef & Oats 25 lb","44.240000","723-10139","1","EA","1","44.24","44.24"
"=""072318101083""","2","FirstMate Dog Grain Friendly Lamb & Oats 25 lb","41.600000","723-10108","2","EA","1","41.60","83.20"
"=""072318200632""","1","FirstMate Cat LID GF Chicken with Blueberries 10 lb","31.240000","723-20063","1","EA","1","31.24","31.24"
"=""072318220616""","24","FirstMate Cat Grain Friendly Wild Salmon with Rice 24/5.5 oz","2.399583","723-22061","1","CS","24","57.59","57.59"
"=""072318220517""","24","FirstMate Cat GF 50/50 Wild Salmon/Wild Tuna 24/5.5 oz","2.399583","723-22051","1","CS","24","57.59","57.59"
"=""064992714215""","1","ACANA Dog Singles Pork with Squash 10.8 kg","81.980000","649-71421","1","EA","1","81.98","81.98"
"=""064992714130""","1","ACANA Dog Singles Lamb with Apple 10.8 kg","89.060000","649-71413","1","EA","1","89.06","89.06"
"=""064992714178""","1","ACANA Dog Singles Duck with Pear 10.8 kg","89.060000","649-71417","1","EA","1","89.06","89.06"
"=""064992510114""","1","ACANA Dog Senior 11.4 kg","67.850000","649-51011","1","EA","1","67.85","67.85"
"=""064992716035""","12","ACANA Dog Premium Chunks Pork in Bone Broth 12/363g","4.355833","649-71603","1","CS","12","52.27","52.27"
"=""064992716004""","12","ACANA Dog Premium Chunks Lamb in Bone Broth 12/363g","4.355833","649-71600","1","CS","12","52.27","52.27"
"=""064992512118""","1","ACANA Dog Light & Fit 11.4 kg","67.850000","649-51211","1","EA","1","67.85","67.85"
"=""064992541118""","1","ACANA Dog Highest Protein Pacifica 11.4 kg","78.450000","649-54111","1","EA","1","78.45","78.45"
"=""064992542115""","1","ACANA Dog Highest Protein Grasslands 11.4 kg","78.450000","649-54211","1","EA","1","78.45","78.45"
"=""064992724436""","1","ACANA Dog Healthy Grains Sea to Stream 10.2 kg","62.460000","649-72443","1","EA","1","62.46","62.46"
"=""064992724405""","1","ACANA Dog Healthy Grains Puppy Sea & Farm 10.2 kg","64.490000","649-72440","1","EA","1","64.49","64.49"
"=""064992562120""","1","ACANA Dog Classics Wild Coast 9.7 kg","59.780000","649-56212","1","EA","1","59.78","59.78"
"=""064992562175""","1","ACANA Dog Classics Wild Coast 14.5 kg","83.140000","649-56217","1","EA","1","83.14","83.14"
"=""064992561208""","1","ACANA Dog Classics Red Meat 2 kg","17.210000","649-56120","1","EA","1","17.21","17.21"
"=""064992561178""","2","ACANA Dog Classics Red Meat 14.5 kg","75.970000","649-56117","2","EA","1","75.97","151.94"
"=""064992560171""","1","ACANA Dog Classics Prairie Poultry 14.5 kg","68.100000","649-56017","1","EA","1","68.10","68.10"
"=""064992521172""","1","ACANA Dog Adult Large Breed 17 kg","87.450000","649-52117","1","EA","1","87.45","87.45"
"=""064992722067""","12","ACANA Cat Premium Pate Salmon in Bone Broth 12/155g","2.859167","649-72206","1","CS","12","34.31","34.31"
"=""064992714512""","2","ACANA Cat Indoor Entree 4.5 kg","38.460000","649-71451","2","EA","1","38.46","76.92"
"=""064992714369""","1","ACANA Cat Homestead Harvest 1.8 kg","19.690000","649-71436","1","EA","1","19.69","19.69"
"=""064992723972""","1","ACANA Cat Highest Protein Indoor 1.8 kg","23.450000","649-72397","1","EA","1","23.45","23.45"
"=""064992727321""","1","ACANA Cat First Feast Kitten 3.17 kg","30.210000","649-72732","1","EA","1","30.21","30.21"
"=""064992726058""","12","ACANA Cat Chunks in Broth Chicken & Tuna 12/155g","3.062500","649-72605","1","CS","12","36.75","36.75"
"=""064992714444""","1","ACANA Cat Bountiful Catch 4.5 kg","38.460000","649-71444","1","EA","1","38.46","38.46"
